,house_type,house_size,location,price,numBathrooms,numBalconies,verificationDate,SecurityDeposit,Status
2196,3BHKApartment,1350,Colaba,160000,2,0,a month,0,Furnished
2197,1BHKApartment,540,Thane West,15000,1,0,a month,0,Semi-Furnished
2198,3BHKApartment,3360,Chembur,180000,3,0,a month,0,Semi-Furnished
2199,3BHKApartment,1325,Chembur,90000,4,0,a month,0,Semi-Furnished
2200,4BHKApartment,2300,Bandra West,400000,4,0,a month,0,Furnished
2201,2BHKApartment,1000,Kharghar,28000,2,0,25 days,0,Semi-Furnished
2202,2BHKApartment,1100,Goregaon East,93000,2,0,24 days,0,Furnished
2203,2BHKApartment,900,Andheri West,65000,2,0,25 days,0,Furnished
2204,3BHKApartment,1750,Kandivali East,85000,3,0,a month,0,Semi-Furnished
2205,3BHKApartment,805,Andheri West,100000,2,0,a month,0,Unfurnished
2206,2BHKApartment,580,Andheri West,75000,2,0,a month,0,Unfurnished
2207,1RKStudioApartment,650,Mulund West,11000,1,0,a month,0,Unfurnished
2208,1BHKApartment,700,Ulwe,11000,1,0,a month,0,Unfurnished
2209,2BHKApartment,1100,Ulwe,20000,2,0,a month,0,Furnished
2210,1BHKApartment,700,Ulwe,13000,1,0,a month,0,Unfurnished
2211,1BHKApartment,700,Ulwe,13500,2,0,a month,0,Semi-Furnished
2212,1BHKApartment,700,Ulwe,9000,1,0,a month,0,Unfurnished
2213,3BHKApartment,1700,Ghansoli,70000,3,0,a month,0,Unfurnished
2214,3BHKApartment,1400,Ghansoli,70000,2,0,a month,0,Furnished
2215,3BHKApartment,1300,Ghansoli,65000,3,0,a month,0,Furnished
2216,2BHKApartment,900,Ghansoli,55000,2,0,a month,0,Semi-Furnished
2217,2BHKApartment,900,Ghansoli,45000,2,0,a month,0,Unfurnished
2218,3BHKApartment,1400,Andheri West,170000,3,0,a month,0,Furnished
2219,2BHKApartment,900,Andheri West,60000,2,0,a month,0,Furnished
2220,2BHKApartment,770,Thane West,40000,2,0,a month,0,Unfurnished
2221,3BHKApartment,1190,Mulund West,70000,3,0,a month,0,Furnished
2222,2BHKApartment,890,Virar East,13000,2,0,a month,0,Semi-Furnished
2223,2BHKApartment,1200,Mulund West,44000,2,0,a month,0,Unfurnished
2224,2BHKApartment,820,Vasai,12000,1,0,a month,0,Unfurnished
2225,1BHKApartment,550,Kharghar,16000,2,0,a month,0,Unfurnished
2226,1BHKApartment,710,Kharghar,18000,2,0,a month,0,Unfurnished
2227,1BHKApartment,680,Kharghar,22000,1,0,a month,0,Unfurnished
2228,1BHKApartment,710,Kharghar,18000,2,0,a month,0,Unfurnished
2229,1BHKApartment,650,Kharghar,15000,1,0,a month,0,Semi-Furnished
2230,2BHKApartment,980,Kharghar,23000,2,0,a month,0,Unfurnished
2231,1BHKApartment,700,Kharghar,21000,2,0,a month,0,Semi-Furnished
2232,1BHKApartment,700,Kharghar,19000,1,0,a month,0,Unfurnished
2233,2BHKApartment,1150,Kharghar,33000,2,0,a month,0,Semi-Furnished
2234,2BHKApartment,1050,Kharghar,26000,2,0,a month,0,Semi-Furnished
2235,2BHKApartment,1150,Kharghar,25000,2,0,a month,0,Semi-Furnished
2236,1BHKApartment,690,Kharghar,17000,2,0,a month,0,Unfurnished
2237,1BHKApartment,540,Thane West,15000,1,0,a month,0,Semi-Furnished
2238,2BHKApartment,950,Colaba,130000,2,0,a month,0,Semi-Furnished
2239,3BHKApartment,1350,Colaba,160000,2,0,a month,0,Furnished
2240,3BHKApartment,1350,Bhandup West,50000,4,0,a month,0,Unfurnished
2241,2BHKApartment,1050,Bhandup West,42000,2,0,a month,0,Unfurnished
2242,2BHKApartment,1050,Bhandup West,40000,2,0,a month,0,Semi-Furnished
2243,2BHKApartment,1100,Kanjurmarg,65000,2,0,a month,0,Furnished
2244,1BHKApartment,650,Mira Road East,16500,2,0,a month,0,Semi-Furnished
2245,1BHKApartment,530,Bandra West,60000,1,0,a month,0,Furnished
2246,3BHKApartment,900,Khar West,150000,3,0,a month,0,Semi-Furnished
2247,2BHKApartment,700,Khar West,125000,2,0,a month,0,Semi-Furnished
2248,2BHKApartment,1000,Santacruz West,140000,2,0,a month,0,Semi-Furnished
2249,2BHKApartment,1000,Santacruz West,135000,2,0,a month,0,Semi-Furnished
2250,2BHKApartment,1000,Santacruz West,135000,2,0,a month,0,Furnished
2251,4BHKApartment,1700,Bandra West,450000,4,0,a month,0,Semi-Furnished
2252,3BHKApartment,1200,Khar,120000,3,0,a month,0,Semi-Furnished
2253,2BHKApartment,750,Santacruz West,80000,2,0,a month,0,Unfurnished
2254,1BHKApartment,950,Bandra West,60000,1,0,a month,0,Semi-Furnished
2255,1BHKApartment,560,Bandra West,60000,1,0,a month,0,Unfurnished
2256,1BHKApartment,780,Bandra West,65000,1,0,a month,0,Furnished
2257,2BHKApartment,1210,Colaba,115000,2,0,a month,0,Furnished
2258,3BHKApartment,1450,Cuffe Parade,220000,2,0,a month,0,Furnished
2259,3BHKApartment,2005,Cuffe Parade,390000,3,0,a month,0,Furnished
2260,2BHKApartment,1000,Cuffe Parade,145000,2,0,a month,0,Furnished
2261,4BHKApartment,3000,Churchgate,500000,4,0,a month,0,Furnished
2262,2BHKApartment,1395,Cuffe Parade,175000,2,0,a month,0,Unfurnished
2263,1BHKApartment,625,Colaba,120000,2,0,a month,0,Furnished
2264,2BHKApartment,950,Andheri West,63000,2,0,a month,0,Semi-Furnished
2265,2BHKApartment,800,Santacruz East,54000,1,0,a month,0,Furnished
2266,3BHKApartment,1040,Mulund West,80000,3,0,a month,0,Semi-Furnished
2267,1BHKApartment,470,Mulund East,28000,1,0,a month,0,Semi-Furnished
2268,3BHKApartment,1200,Santacruz East,99500,2,0,a month,0,Semi-Furnished
2269,3BHKApartment,1200,Santacruz East,107000,3,0,a month,0,Furnished
2270,3BHKApartment,1600,Powai,110000,2,0,a month,0,Semi-Furnished
2271,2BHKApartment,1050,Powai,75000,2,0,a month,0,Semi-Furnished
2272,2BHKApartment,1000,Santacruz East,63000,2,0,a month,0,Furnished
2273,3BHKApartment,1350,Powai,75000,2,0,a month,0,Unfurnished
2274,2BHKApartment,1050,Powai,65000,2,0,a month,0,Unfurnished
2275,4BHKApartment,5000,Powai,300000,4,0,a month,0,Furnished
2276,2BHKApartment,1000,Powai,75000,2,0,a month,0,Semi-Furnished
2277,2BHKApartment,1250,Powai,75000,2,0,a month,0,Semi-Furnished
2278,3BHKApartment,1645,Powai,110000,2,0,a month,0,Furnished
2279,3BHKApartment,1214,Panvel,20000,2,0,a month,0,Unfurnished
2280,3BHKApartment,1641,Panvel,25000,3,0,a month,0,Unfurnished
2281,2BHKApartment,860,Panvel,13000,2,0,a month,0,Unfurnished
2282,2BHKApartment,1050,Powai,70000,2,0,a month,0,Semi-Furnished
2283,2BHKApartment,600,Ghatkopar West,35000,1,0,a month,0,Semi-Furnished
2284,3BHKApartment,1214,Panvel,18000,2,0,a month,0,Unfurnished
2285,3BHKApartment,1700,Panvel,35000,4,0,a month,0,Semi-Furnished
2286,1BHKApartment,580,Panvel,10000,2,0,a month,0,Unfurnished
2287,2BHKApartment,1200,Ulwe,22000,2,0,a month,0,Unfurnished
2288,3BHKApartment,1080,Malad East,85000,3,0,a month,0,Unfurnished
2289,2BHKApartment,1100,Seawoods,65000,2,0,a month,0,Furnished
